id,education_level,stream_or_subject_interest,recommended_degree_or_course,career_field,entry_level_job,mid_level_job,senior_level_job,key_skills_required,recommended_soft_skills,typical_university_subjects,certifications_or_extra_training,industry_growth_in_sri_lanka,global_demand_level,average_starting_salary_lkr,future_salary_range_lkr,remote_work_possibility,freelance_opportunity,automation_risk,job_description
818,Undergraduate,Background in Psychology & Counseling,BA/BSc Psychology,Psychology,HR Assistant,Organizational Psychologist,Consultant Psychologist,Psychological Assessment|Research Methodology|Therapy Techniques (CBT),Empathy|Patience|Active Listening,Cognitive Psychology|Abnormal Psychology|Developmental Psychology,Clinical Psychology Masters|Mental Health First Aid,Medium,High,55000,85000-420000,Yes,High,Low,Study human behavior and help individuals navigate mental health and emotional challenges.
819,Career Switcher,Design & Multimedia Interest,BA Graphic Design / Diploma in Multimedia,Design,Visual Designer,Art Director,Creative Director,Adobe Illustrator|Photoshop|Color Theory,Attention to Detail|Creativity|Receptivity to Feedback,Visual Communication|User Experience|Design Principles,Google UX Design|Adobe Certified Professional,High,High,70000,100000-260000,Yes,High,High,"Create visual concepts to communicate ideas that inspire, inform, and captivate consumers."
820,A/L Pending,Technology Stream - ET/BST focus,BSc Information Technology / Diploma in Networking,IT Infrastructure,Junior Systems Administrator,Cloud Engineer,IT Infrastructure Manager,Routing & Switching|Linux/Windows Server|Cloud Computing (AWS/Azure),Troubleshooting|Customer Service|Communication,Operating Systems|Computer Networks|System Administration,AWS SysOps|CCNP,High,High,95000,125000-520000,Yes,Low,Medium,"Design, install, and maintain the computer networks and systems that organizations rely on."
821,Career Switcher,Construction & Structures Interest,BSc Civil Engineering,Civil Engineering,Structural Trainee,Civil Engineer,Engineering Director,Project Management|Surveying|Structural Analysis,Teamwork|Risk Management|Leadership,Materials Science|Fluid Mechanics|Geotechnical Engineering,PMP|Chartered Engineer (CEng),Medium,Medium,110000,140000-360000,No,Low,Low,"Design, build, and supervise infrastructure projects and systems."
822,Graduate,Background in Marketing & Digital Media,BSc Digital Marketing,Marketing,Social Media Coordinator,SEO Specialist,Chief Marketing Officer,Social Media Ads|Content Creation|Google Analytics,Communication|Adaptability|Creativity,Market Research|Digital Strategy|Consumer Behavior,Google Digital Garage|Meta Blueprint,High,High,60000,90000-410000,Yes,High,Medium,Promote products and services using digital channels to reach target audiences effectively.
823,Undergraduate,Background in Data Analysis & AI,BSc Data Science,Data Science,BI Analyst,Data Engineer,Chief Data Officer,Statistics|Data Viz|Machine Learning,Presentation|Analytical Thinking|Business Acumen,Deep Learning|Linear Algebra|Big Data,AWS Machine Learning|IBM Data Science,High,Very High,195000,225000-370000,Yes,High,Low,Analyze complex data sets to help companies make data-driven decisions and build predictive models.
824,Diploma Holder,Background in Law & Justice,LLB Law,Legal Services,Apprentice,Corporate Counsel,Chief Legal Officer,Drafting Contracts|Litigation|Legal Research,Negotiation|Analytical Thinking|Public Speaking,Criminal Law|Corporate Law|Contract Law,Notary Public|Attorney-at-Law (Sri Lanka Law College),Medium,Medium,60000,90000-360000,No,Medium,Medium,"Advise and represent clients in legal matters, draft documents, and ensure legal compliance."
825,A/L Pending,Physical Science Stream - Chemistry/IT focus,BSc Agriculture,Agriculture & Agri-Business,Farm Supervisor,Plantation Manager,Senior Agronomist,"Agri-Tech (IoT, Drones)|Soil Science|Pest Control",Physical Endurance|Problem Solving|Adaptability,Plant Biotechnology|Agricultural Economics|Soil Science,Pesticide Application License|GAP Certification,Medium,Low,75000,105000-390000,No,Low,Medium,"Manage farming operations, improve crop yields, and implement sustainable agricultural practices."
826,Undergraduate,Background in Architecture & Built Environment,BArch Architecture,Architecture,Junior Draftsman,Project Architect,Design Director,AutoCAD|3D Rendering|Building Codes,Communication|Visualization|Attention to Detail,History of Architecture|Architectural Design|Structural Design,Chartered Architect (AIA)|LEED Green Associate,Medium,Medium,90000,120000-580000,Medium,High,Medium,"Design buildings and structures that are functional, safe, and aesthetically pleasing."
827,A/L Completed,Physical Science Stream - Math focus,BSc Agriculture,Agriculture & Agri-Business,Farm Supervisor,Plantation Manager,Senior Agronomist,"Pest Control|Crop Management|Agri-Tech (IoT, Drones)",Physical Endurance|Team Management|Problem Solving,Crop Science|Plant Biotechnology|Agricultural Economics,GAP Certification|Pesticide Application License,Medium,Low,80000,110000-360000,No,Low,Medium,"Manage farming operations, improve crop yields, and implement sustainable agricultural practices."
828,Career Switcher,Education & Teaching Interest,BA/BSc / BEd Education,Education,Teaching Assistant,Instructor,Senior Teacher,Educational Technology|Lesson Planning|Student Assessment,Patience|Mentorship|Empathy,Educational Psychology|Subject-Specific Focus|Curriculum Design,TEFL/TESOL|Postgraduate Diploma in Education (PGDE),Medium,High,40000,70000-350000,Medium,High,Low,"Educate and mentor students, preparing them for academic and personal success."
829,Career Switcher,Tourism & Hospitality Interest,BSc Hospitality Management,Tourism,Management Trainee,Tour Operations Manager,General Manager (Hotel),Languages|Property Management Systems|Inventory Management,Cultural Awareness|Problem Solving|Interpersonal Skills,Tourism Marketing|Hospitality Operations|HR in Hospitality,IATA Certification|Language Diplomas,High,Medium,55000,85000-390000,No,Medium,High,"Manage operations in hotels, resorts, and coordinate travel experiences for tourists."
830,A/L Pending,Physical Science Stream - Math focus,BSc Mechanical Engineering,Mechanical Engineering,Junior Mechanical Engineer,Mechanical Engineer,Plant Manager,CAD/CAM|Quality Control|Thermodynamics,Troubleshooting|Analytical Thinking|Innovation,Machine Design|Fluid Mechanics|Thermodynamics,Chartered Engineer (CEng)|Six Sigma,Medium,High,105000,135000-300000,No,Low,Medium,"Design, develop, build, and test mechanical and thermal sensors and devices."
831,A/L Completed,Technology Stream - IT focus,BSc Information Technology / Diploma in Networking,IT Infrastructure,Junior Systems Administrator,Systems Administrator,Network Architect,Routing & Switching|Cloud Computing (AWS/Azure)|Linux/Windows Server,Troubleshooting|Customer Service|Communication,Computer Networks|System Administration|Operating Systems,AWS SysOps|CompTIA Network+,High,High,90000,120000-600000,Yes,Low,Medium,"Design, install, and maintain the computer networks and systems that organizations rely on."
832,Undergraduate,Background in Business Management,BBA Business Management,Business Operations,Business Coordinator,Operations Manager,Operations Director,Data Analysis|Strategic Planning|Budgeting,Leadership|Decision Making|Problem Solving,Strategic Management|Organizational Behavior|Marketing,PMP|Agile PM,Medium,High,140000,170000-270000,Yes,Medium,Low,Oversee the day-to-day operations of a company to ensure efficiency and profitability.
833,O/L Completed,Cybersecurity Interest,BSc Cyber Security,Information Security,SOC Analyst,Penetration Tester,Security Architect,Network Security|Ethical Hacking|Risk Assessment,Perseverance|Analytical Thinking|Ethics,Digital Forensics|Cryptography|Network Protocols,CompTIA Security+|CEH,Very High,Very High,215000,245000-540000,Yes,High,Low,Protect computer systems and networks from cyber attacks and unauthorized access.
834,Undergraduate,Background in Psychology & Counseling,BA/BSc Psychology,Psychology,HR Assistant,Organizational Psychologist,Chief HR Officer,Research Methodology|Psychological Assessment|Therapy Techniques (CBT),Active Listening|Confidentiality|Empathy,Cognitive Psychology|Counseling|Abnormal Psychology,Counseling Diploma|Clinical Psychology Masters,Medium,High,50000,80000-330000,Yes,High,Low,Study human behavior and help individuals navigate mental health and emotional challenges.
835,O/L Completed,Networking Interest,BSc Information Technology / Diploma in Networking,IT Infrastructure,IT Technician,Systems Administrator,Network Architect,Routing & Switching|Cloud Computing (AWS/Azure)|Linux/Windows Server,Customer Service|Troubleshooting|Reliability,Computer Networks|System Administration|Operating Systems,CompTIA Network+|CCNP,High,High,145000,175000-570000,Yes,Low,Medium,"Design, install, and maintain the computer networks and systems that organizations rely on."
836,Graduate,Background in Law & Justice,LLB Law,Legal Services,Legal Assistant,Corporate Counsel,Partner,Drafting Contracts|Compliance|Legal Research,Public Speaking|Analytical Thinking|Argumentation,Corporate Law|Criminal Law|Contract Law,Attorney-at-Law (Sri Lanka Law College)|Notary Public,Medium,Medium,95000,125000-800000,No,Medium,Medium,"Advise and represent clients in legal matters, draft documents, and ensure legal compliance."
837,Diploma Holder,Background in Tourism & Hospitality,BSc Hospitality Management,Tourism,Tour Guide,Event Manager,Director of Tourism,Languages|Property Management Systems|Inventory Management,Problem Solving|Customer Service|Cultural Awareness,Hospitality Operations|Food & Beverage Management|Tourism Marketing,IATA Certification|Food Safety Certification,High,Medium,70000,100000-460000,No,Medium,High,"Manage operations in hotels, resorts, and coordinate travel experiences for tourists."
838,Undergraduate,Background in Healthcare Caregiving,BSc Nursing,Healthcare - Nursing,Trainee Staff Nurse,Staff Nurse,Chief Nursing Officer,Infection Control|First Aid|Vital Signs Monitoring,Empathy|Patience|Communication,Medical-Surgical Nursing|Psychology|Pharmacology,Specialized Nursing Certifications|ACLS,High,Very High,95000,125000-440000,No,Low,Low,"Provide care to patients, administer medications, and assist doctors in medical treatments."
839,Career Switcher,Psychology & Counseling Interest,BA/BSc Psychology,Psychology,HR Assistant,Clinical Psychologist,Consultant Psychologist,Psychological Assessment|Therapy Techniques (CBT)|Research Methodology,Patience|Confidentiality|Empathy,Cognitive Psychology|Abnormal Psychology|Counseling,Counseling Diploma|Clinical Psychology Masters,Medium,High,85000,115000-290000,Yes,High,Low,Study human behavior and help individuals navigate mental health and emotional challenges.
840,A/L Completed,Arts Stream - History focus,BSc Digital Marketing,Marketing,Marketing Assistant,Content Strategist,Marketing Director,Social Media Ads|Google Analytics|SEO/SEM,Creativity|Communication|Empathy,Market Research|Consumer Behavior|Brand Management,Google Digital Garage|Meta Blueprint,High,High,110000,140000-590000,Yes,High,Medium,Promote products and services using digital channels to reach target audiences effectively.
841,Undergraduate,Background in Law & Justice,LLB Law,Legal Services,Junior Lawyer,Legal Consultant,Senior Counsel,Legal Research|Drafting Contracts|Litigation,Argumentation|Analytical Thinking|Public Speaking,Criminal Law|Corporate Law|Contract Law,Attorney-at-Law (Sri Lanka Law College)|Notary Public,Medium,Medium,60000,90000-360000,No,Medium,Medium,"Advise and represent clients in legal matters, draft documents, and ensure legal compliance."
842,A/L Completed,Arts Stream - Logic/Media focus,BA/BSc Psychology,Psychology,Counseling Trainee,Clinical Psychologist,Consultant Psychologist,Therapy Techniques (CBT)|Research Methodology|Psychological Assessment,Empathy|Active Listening|Confidentiality,Developmental Psychology|Abnormal Psychology|Counseling,Mental Health First Aid|Counseling Diploma,Medium,High,55000,85000-160000,Yes,High,Low,Study human behavior and help individuals navigate mental health and emotional challenges.
843,Graduate,Background in Healthcare Caregiving,BSc Nursing,Healthcare - Nursing,Trainee Staff Nurse,Staff Nurse,Nursing Sister,Vital Signs Monitoring|Infection Control|First Aid,Resilience|Patience|Empathy,Medical-Surgical Nursing|Nursing Foundations|Psychology,ACLS|Specialized Nursing Certifications,High,Very High,90000,120000-230000,No,Low,Low,"Provide care to patients, administer medications, and assist doctors in medical treatments."
844,Undergraduate,Background in Education & Teaching,BA/BSc / BEd Education,Education,Trainee Teacher,Teacher,Dean,Educational Technology|Lesson Planning|Curriculum Development,Public Speaking|Patience|Empathy,Teaching Methodology|Curriculum Design|Educational Psychology,TEFL/TESOL|Postgraduate Diploma in Education (PGDE),Medium,High,55000,85000-220000,Medium,High,Low,"Educate and mentor students, preparing them for academic and personal success."
845,Undergraduate,Background in Education & Teaching,BA/BSc / BEd Education,Education,Teaching Assistant,Teacher,Principal,Curriculum Development|Student Assessment|Educational Technology,Public Speaking|Patience|Empathy,Teaching Methodology|Subject-Specific Focus|Educational Psychology,TEFL/TESOL|Postgraduate Diploma in Education (PGDE),Medium,High,75000,105000-250000,Medium,High,Low,"Educate and mentor students, preparing them for academic and personal success."
846,A/L Completed,Physical Science Stream - Chemistry/IT focus,BSc Agriculture,Agriculture & Agri-Business,Field Officer,Agricultural Officer,Senior Agronomist,"Pest Control|Agri-Tech (IoT, Drones)|Crop Management",Physical Endurance|Adaptability|Team Management,Crop Science|Plant Biotechnology|Soil Science,Pesticide Application License|GAP Certification,Medium,Low,80000,110000-380000,No,Low,Medium,"Manage farming operations, improve crop yields, and implement sustainable agricultural practices."
847,A/L Pending,Technology Stream - IT focus,BSc Agriculture,Agriculture & Agri-Business,Agricultural Assistant,Agronomist,Director of Agriculture,"Crop Management|Soil Science|Agri-Tech (IoT, Drones)",Physical Endurance|Team Management|Problem Solving,Agricultural Economics|Crop Science|Soil Science,GAP Certification|Pesticide Application License,Medium,Low,60000,90000-440000,No,Low,Medium,"Manage farming operations, improve crop yields, and implement sustainable agricultural practices."
848,A/L Pending,Technology Stream - IT focus,BSc Agriculture,Agriculture & Agri-Business,Agricultural Assistant,Agricultural Officer,Senior Agronomist,"Agri-Tech (IoT, Drones)|Pest Control|Crop Management",Physical Endurance|Adaptability|Problem Solving,Soil Science|Crop Science|Plant Biotechnology,GAP Certification|Pesticide Application License,Medium,Low,55000,85000-170000,No,Low,Medium,"Manage farming operations, improve crop yields, and implement sustainable agricultural practices."
849,Undergraduate,Background in Healthcare Caregiving,BSc Nursing,Healthcare - Nursing,Assistant Nurse,Staff Nurse,Nursing Sister,First Aid|Vital Signs Monitoring|Infection Control,Resilience|Patience|Communication,Pharmacology|Nursing Foundations|Psychology,ACLS|Specialized Nursing Certifications,High,Very High,85000,115000-200000,No,Low,Low,"Provide care to patients, administer medications, and assist doctors in medical treatments."
850,A/L Pending,Arts Stream - Logic/Media focus,BSc Accounting and Finance,Finance,Audit Trainee,Tax Executive,Chief Financial Officer (CFO),ERP Systems|Excel|Financial Reporting,Analytical Thinking|Attention to Detail|Ethics,Auditing|Corporate Finance|Management Accounting,ACCA|CMA,High,High,85000,115000-560000,Yes,Medium,High,"Manage financial records, analyze financial data, and ensure legal tax compliance for organizations."
851,Undergraduate,Background in Design & Multimedia,BA Graphic Design / Diploma in Multimedia,Design,Visual Designer,UI/UX Designer,Creative Director,Typography|Adobe Illustrator|Color Theory,Creativity|Time Management|Receptivity to Feedback,Digital Art|User Experience|Visual Communication,Adobe Certified Professional|Google UX Design,High,High,85000,115000-340000,Yes,High,High,"Create visual concepts to communicate ideas that inspire, inform, and captivate consumers."
852,A/L Pending,Biological Science Stream - Biology focus,BA/BSc Psychology,Psychology,Assistant Psychologist,Clinical Psychologist,Chief HR Officer,Research Methodology|Psychological Assessment|Therapy Techniques (CBT),Empathy|Active Listening|Confidentiality,Abnormal Psychology|Cognitive Psychology|Developmental Psychology,Mental Health First Aid|Counseling Diploma,Medium,High,85000,115000-150000,Yes,High,Low,Study human behavior and help individuals navigate mental health and emotional challenges.
853,Diploma Holder,Background in Logistics & Supply Chain,BSc Supply Chain Management,Logistics,Warehouse Assistant,Supply Chain Manager,Director of Operations,ERP Software (SAP/Oracle)|Freight Forwarding|Data Analysis,Problem Solving|Time Management|Negotiation,Procurement|Global Supply Chain|Transportation Management,CSCP|Six Sigma,High,High,100000,130000-300000,No,Low,Medium,Oversee the movement of goods from suppliers to consumers efficiently and cost-effectively.
854,O/L Completed,Medicine Interest,MBBS Medicine,Healthcare - Medical,Pre-Intern Medical Officer,General Practitioner,Consultant Specialist,Patient Care|Pharmacology|Diagnosis,Decision Making Under Pressure|Empathy|Communication,Pathology|Pediatrics|Physiology,USMLE|MRCP,Very High,Very High,230000,260000-1230000,No,Low,Low,"Diagnose and treat illnesses, injuries, and health conditions in patients."
855,A/L Pending,Arts Stream - Logic/Media focus,LLB Law,Legal Services,Legal Assistant,Legal Consultant,Senior Counsel,Legal Research|Compliance|Litigation,Negotiation|Public Speaking|Analytical Thinking,Criminal Law|Corporate Law|Contract Law,Notary Public|Attorney-at-Law (Sri Lanka Law College),Medium,Medium,85000,115000-360000,No,Medium,Medium,"Advise and represent clients in legal matters, draft documents, and ensure legal compliance."
856,O/L Completed,Education & Teaching Interest,BA/BSc / BEd Education,Education,Teaching Assistant,Instructor,Dean,Educational Technology|Lesson Planning|Curriculum Development,Mentorship|Patience|Empathy,Subject-Specific Focus|Teaching Methodology|Educational Psychology,TEFL/TESOL|Postgraduate Diploma in Education (PGDE),Medium,High,55000,85000-170000,Medium,High,Low,"Educate and mentor students, preparing them for academic and personal success."
857,Undergraduate,Background in Construction & Structures,BSc Civil Engineering,Civil Engineering,Structural Trainee,Civil Engineer,Construction Manager,Structural Analysis|Project Management|Surveying,Risk Management|Leadership|Problem Solving,Geotechnical Engineering|Materials Science|Structural Design,Chartered Engineer (CEng)|AutoCAD Certification,Medium,Medium,75000,105000-580000,No,Low,Low,"Design, build, and supervise infrastructure projects and systems."
858,A/L Completed,Physical Science Stream - Physics focus,BArch Architecture,Architecture,Junior Draftsman,Architect,Senior Architect,AutoCAD|Building Codes|Revit,Communication|Visualization|Attention to Detail,Building Materials|Architectural Design|History of Architecture,LEED Green Associate|Chartered Architect (AIA),Medium,Medium,70000,100000-490000,Medium,High,Medium,"Design buildings and structures that are functional, safe, and aesthetically pleasing."
859,A/L Completed,Technology Stream - IT focus,BSc Information Technology / Diploma in Networking,IT Infrastructure,Junior Systems Administrator,Network Engineer,Senior Cloud Architect,Cloud Computing (AWS/Azure)|Routing & Switching|Linux/Windows Server,Reliability|Troubleshooting|Communication,Computer Networks|System Administration|Operating Systems,CompTIA Network+|CCNA,High,High,140000,170000-610000,Yes,Low,Medium,"Design, install, and maintain the computer networks and systems that organizations rely on."
860,Undergraduate,Background in IT / Programming,BSc Computer Science,Software Engineering,Junior Software Developer,Backend Engineer,Senior Developer,Problem Solving|Programming|Data Structures,Time Management|Teamwork|Communication,Software Patterns|Math for CS|Operating Systems,AWS Certified Developer|Azure Fundamentals,Very High,Very High,105000,135000-590000,Yes,High,Medium,"Design, build, and maintain software applications and systems for various platforms."
861,O/L Completed,Accounting & Finance Interest,BSc Accounting and Finance,Finance,Accounts Assistant,Financial Analyst,Senior Auditor,Taxation|ERP Systems|Excel,Ethics|Attention to Detail|Integrity,Corporate Finance|Auditing|Economics,CMA|CA Sri Lanka,High,High,60000,90000-390000,Yes,Medium,High,"Manage financial records, analyze financial data, and ensure legal tax compliance for organizations."
862,Undergraduate,Background in Business Management,BBA Business Management,Business Operations,Management Trainee,Project Manager,General Manager,Strategic Planning|Data Analysis|Project Management,Leadership|Negotiation|Problem Solving,Marketing|HR|Strategic Management,Agile PM|Certified Business Analysis Professional (CBAP),Medium,High,90000,120000-250000,Yes,Medium,Low,Oversee the day-to-day operations of a company to ensure efficiency and profitability.
863,A/L Completed,Arts Stream - Languages focus,BArch Architecture,Architecture,Design Intern,Project Architect,Principal Architect,SketchUp|Building Codes|3D Rendering,Visualization|Communication|Attention to Detail,Structural Design|History of Architecture|Building Materials,Chartered Architect (AIA)|LEED Green Associate,Medium,Medium,110000,140000-210000,Medium,High,Medium,"Design buildings and structures that are functional, safe, and aesthetically pleasing."
864,A/L Completed,Physical Science Stream - Chemistry/IT focus,BSc Information Technology / Diploma in Networking,IT Infrastructure,Junior Systems Administrator,Cloud Engineer,Network Architect,Routing & Switching|Cloud Computing (AWS/Azure)|Linux/Windows Server,Reliability|Communication|Troubleshooting,System Administration|Operating Systems|Computer Networks,CompTIA Network+|CCNA,High,High,130000,160000-350000,Yes,Low,Medium,"Design, install, and maintain the computer networks and systems that organizations rely on."
865,A/L Pending,Physical Science Stream - Math focus,BSc Civil Engineering,Civil Engineering,Site Engineer,Structural Engineer,Construction Manager,Surveying|Project Management|AutoCAD,Problem Solving|Risk Management|Teamwork,Fluid Mechanics|Geotechnical Engineering|Structural Design,AutoCAD Certification|PMP,Medium,Medium,85000,115000-210000,No,Low,Low,"Design, build, and supervise infrastructure projects and systems."
866,Diploma Holder,Background in Agriculture,BSc Agriculture,Agriculture & Agri-Business,Agricultural Assistant,Agricultural Officer,Senior Agronomist,"Agri-Tech (IoT, Drones)|Pest Control|Crop Management",Team Management|Adaptability|Problem Solving,Soil Science|Agricultural Economics|Plant Biotechnology,GAP Certification|Pesticide Application License,Medium,Low,75000,105000-230000,No,Low,Medium,"Manage farming operations, improve crop yields, and implement sustainable agricultural practices."
867,Undergraduate,Background in Human Resource Management,BSc Human Resource Management,Human Resources,Payroll Clerk,Talent Acquisition Specialist,VP of People,Recruitment|Payroll Management|Labor Law Knowledge,Communication|Conflict Resolution|Empathy,Performance Management|Compensation|Labor Law,SHRM-CP|CIPM,Medium,Medium,90000,120000-450000,Yes,Low,Medium,"Manage the recruitment, development, and wellbeing of an organization's employees."
868,A/L Completed,Biological Science Stream - Physics/Agri focus,MBBS Medicine,Healthcare - Medical,Pre-Intern Medical Officer,Registrar,Consultant Specialist,Patient Care|Pharmacology|Diagnosis,Empathy|Decision Making Under Pressure|Communication,Pediatrics|Physiology|Surgery,USMLE|MRCP,Very High,Very High,235000,265000-1130000,No,Low,Low,"Diagnose and treat illnesses, injuries, and health conditions in patients."
869,A/L Pending,Biological Science Stream - Biology focus,BA/BSc Psychology,Psychology,Counseling Trainee,Counselor,Chief HR Officer,Psychological Assessment|Research Methodology|Therapy Techniques (CBT),Patience|Empathy|Active Listening,Counseling|Abnormal Psychology|Cognitive Psychology,Mental Health First Aid|Clinical Psychology Masters,Medium,High,80000,110000-240000,Yes,High,Low,Study human behavior and help individuals navigate mental health and emotional challenges.
870,O/L Completed,Architecture & Built Environment Interest,BArch Architecture,Architecture,Junior Draftsman,Architect,Principal Architect,3D Rendering|Revit|Building Codes,Creativity|Communication|Visualization,Structural Design|History of Architecture|Building Materials,LEED Green Associate|Chartered Architect (AIA),Medium,Medium,75000,105000-580000,Medium,High,Medium,"Design buildings and structures that are functional, safe, and aesthetically pleasing."
871,O/L Completed,Business Management Interest,BBA Business Management,Business Operations,Management Trainee,Operations Manager,Chief Operating Officer,Data Analysis|Project Management|Strategic Planning,Decision Making|Negotiation|Leadership,Strategic Management|Marketing|HR,Agile PM|PMP,Medium,High,100000,130000-500000,Yes,Medium,Low,Oversee the day-to-day operations of a company to ensure efficiency and profitability.
872,A/L Completed,Technology Stream - SFT focus,BSc Cyber Security,Information Security,Junior Penetration Tester,Security Engineer,Chief Information Security Officer (CISO),Linux|Risk Assessment|Network Security,Perseverance|Ethics|Calm Under Pressure,Network Protocols|Digital Forensics|Cryptography,CISSP|CISM,Very High,Very High,165000,195000-1060000,Yes,High,Low,Protect computer systems and networks from cyber attacks and unauthorized access.
873,Undergraduate,Background in Psychology & Counseling,BA/BSc Psychology,Psychology,Counseling Trainee,Counselor,Chief HR Officer,Psychological Assessment|Therapy Techniques (CBT)|Research Methodology,Patience|Active Listening|Empathy,Developmental Psychology|Cognitive Psychology|Abnormal Psychology,Counseling Diploma|Clinical Psychology Masters,Medium,High,60000,90000-290000,Yes,High,Low,Study human behavior and help individuals navigate mental health and emotional challenges.
874,A/L Pending,Biological Science Stream - Chemistry focus,MBBS Medicine,Healthcare - Medical,Medical Intern,General Practitioner,Hospital Director,Diagnosis|Patient Care|Pharmacology,Ethics|Decision Making Under Pressure|Empathy,Pediatrics|Pathology|Physiology,USMLE|MD/MS (Sri Lanka),Very High,Very High,175000,205000-1190000,No,Low,Low,"Diagnose and treat illnesses, injuries, and health conditions in patients."
875,Career Switcher,Data Analysis & AI Interest,BSc Data Science,Data Science,Junior Data Scientist,Data Engineer,AI Research Scientist,Data Viz|SQL|Statistics,Business Acumen|Analytical Thinking|Presentation,Probability|Linear Algebra|Big Data,Google Data Analytics|IBM Data Science,High,Very High,170000,200000-670000,Yes,High,Low,Analyze complex data sets to help companies make data-driven decisions and build predictive models.
876,Career Switcher,Networking Interest,BSc Information Technology / Diploma in Networking,IT Infrastructure,IT Technician,Systems Administrator,IT Infrastructure Manager,Routing & Switching|Cloud Computing (AWS/Azure)|Linux/Windows Server,Customer Service|Reliability|Communication,Computer Networks|Operating Systems|System Administration,CCNA|CompTIA Network+,High,High,135000,165000-660000,Yes,Low,Medium,"Design, install, and maintain the computer networks and systems that organizations rely on."
877,Career Switcher,Networking Interest,BSc Information Technology / Diploma in Networking,IT Infrastructure,IT Technician,Systems Administrator,Network Architect,Linux/Windows Server|Cloud Computing (AWS/Azure)|Routing & Switching,Troubleshooting|Customer Service|Reliability,System Administration|Operating Systems|Computer Networks,CCNA|CCNP,High,High,90000,120000-310000,Yes,Low,Medium,"Design, install, and maintain the computer networks and systems that organizations rely on."
878,Career Switcher,Psychology & Counseling Interest,BA/BSc Psychology,Psychology,Counseling Trainee,Clinical Psychologist,Director of Mental Health Services,Therapy Techniques (CBT)|Psychological Assessment|Research Methodology,Patience|Confidentiality|Empathy,Abnormal Psychology|Cognitive Psychology|Counseling,Clinical Psychology Masters|Mental Health First Aid,Medium,High,70000,100000-470000,Yes,High,Low,Study human behavior and help individuals navigate mental health and emotional challenges.
879,Graduate,Background in Marketing & Digital Media,BSc Digital Marketing,Marketing,Marketing Assistant,Digital Marketing Executive,Chief Marketing Officer,SEO/SEM|Google Analytics|Content Creation,Communication|Adaptability|Empathy,Brand Management|Digital Strategy|Market Research,Google Digital Garage|HubSpot Inbound Marketing,High,High,110000,140000-230000,Yes,High,Medium,Promote products and services using digital channels to reach target audiences effectively.
880,A/L Completed,Commerce Stream - Accounting focus,BSc Human Resource Management,Human Resources,Payroll Clerk,HR Manager,Chief Human Resources Officer (CHRO),"Recruitment|HRIS (Workday, BambooHR)|Payroll Management",Negotiation|Conflict Resolution|Communication,Performance Management|Labor Law|Compensation,CIPM|PHR,Medium,Medium,65000,95000-350000,Yes,Low,Medium,"Manage the recruitment, development, and wellbeing of an organization's employees."
881,A/L Completed,Biological Science Stream - Biology focus,BSc Agriculture,Agriculture & Agri-Business,Field Officer,Agronomist,Director of Agriculture,"Pest Control|Soil Science|Agri-Tech (IoT, Drones)",Adaptability|Problem Solving|Team Management,Soil Science|Plant Biotechnology|Crop Science,Pesticide Application License|GAP Certification,Medium,Low,50000,80000-440000,No,Low,Medium,"Manage farming operations, improve crop yields, and implement sustainable agricultural practices."
882,A/L Pending,Technology Stream - IT focus,BA/BSc / BEd Education,Education,Trainee Teacher,Instructor,Principal,Curriculum Development|Educational Technology|Student Assessment,Mentorship|Patience|Public Speaking,Curriculum Design|Teaching Methodology|Educational Psychology,TEFL/TESOL|Postgraduate Diploma in Education (PGDE),Medium,High,70000,100000-120000,Medium,High,Low,"Educate and mentor students, preparing them for academic and personal success."
883,Graduate,Background in Mechanical Systems,BSc Mechanical Engineering,Mechanical Engineering,Maintenance Engineer Trainee,Production Engineer,Plant Manager,Quality Control|CAD/CAM|Robotics,Troubleshooting|Innovation|Analytical Thinking,Thermodynamics|Fluid Mechanics|Machine Design,Chartered Engineer (CEng)|Six Sigma,Medium,High,135000,165000-260000,No,Low,Medium,"Design, develop, build, and test mechanical and thermal sensors and devices."
884,A/L Pending,Commerce Stream - Accounting focus,BSc Data Science,Data Science,Data Analyst,Data Engineer,Chief Data Officer,Machine Learning|SQL|Data Viz,Analytical Thinking|Business Acumen|Curiosity,Probability|Deep Learning|Big Data,IBM Data Science|Google Data Analytics,High,Very High,190000,220000-890000,Yes,High,Low,Analyze complex data sets to help companies make data-driven decisions and build predictive models.
885,Diploma Holder,Background in Design & Multimedia,BA Graphic Design / Diploma in Multimedia,Design,Junior Graphic Designer,Art Director,Lead Product Designer,Photoshop|Typography|Adobe Illustrator,Time Management|Attention to Detail|Creativity,User Experience|Design Principles|Visual Communication,Adobe Certified Professional|Google UX Design,High,High,85000,115000-550000,Yes,High,High,"Create visual concepts to communicate ideas that inspire, inform, and captivate consumers."
886,Diploma Holder,Background in Human Resource Management,BSc Human Resource Management,Human Resources,Recruitment Trainee,Talent Acquisition Specialist,HR Director,"HRIS (Workday, BambooHR)|Labor Law Knowledge|Recruitment",Empathy|Communication|Conflict Resolution,Organizational Behavior|Compensation|Performance Management,PHR|CIPM,Medium,Medium,100000,130000-420000,Yes,Low,Medium,"Manage the recruitment, development, and wellbeing of an organization's employees."
