id,education_level,stream_or_subject_interest,recommended_degree_or_course,career_field,entry_level_job,mid_level_job,senior_level_job,key_skills_required,recommended_soft_skills,typical_university_subjects,certifications_or_extra_training,industry_growth_in_sri_lanka,global_demand_level,average_starting_salary_lkr,future_salary_range_lkr,remote_work_possibility,freelance_opportunity,automation_risk,job_description
728,Career Switcher,Arts;Commerce,BBA Hospitality Management,Tourism,Front Office Assistant,Hotel Manager,Resort Manager,Languages;Property Management Systems;Event Planning;Inventory Management,Customer Service;Interpersonal Skills;Cultural Awareness;Problem Solving,Tourism Marketing;Hospitality Operations;Food & Beverage Management;HR in Hospitality,IATA Certification;Food Safety Certification;Language Diplomas,Moderate,Very High,99000,359000-720000,No,Medium,Low,"Managing operations in hotels, resorts, and coordinating travel experiences for tourists."
729,O/L Completed,Arts;Commerce,Diploma in Hotel Management,Tourism,Tour Guide,Hotel Manager,Resort Manager,Languages;Property Management Systems;Event Planning;Inventory Management,Customer Service;Interpersonal Skills;Cultural Awareness;Problem Solving,Tourism Marketing;Hospitality Operations;Food & Beverage Management;HR in Hospitality,IATA Certification;Food Safety Certification;Language Diplomas,Very High,High,92000,372000-1490000,No,Medium,Medium,"Managing operations in hotels, resorts, and coordinating travel experiences for tourists."
730,Undergraduate,Arts;Commerce,BSc Tourism Management,Tourism,Front Office Assistant,Tour Operations Manager,Director of Tourism,Languages;Property Management Systems;Event Planning;Inventory Management,Customer Service;Interpersonal Skills;Cultural Awareness;Problem Solving,Tourism Marketing;Hospitality Operations;Food & Beverage Management;HR in Hospitality,IATA Certification;Food Safety Certification;Language Diplomas,Very High,Very High,74000,598000-2390000,No,Medium,Medium,"Managing operations in hotels, resorts, and coordinating travel experiences for tourists."
731,A/L Pending,Arts;Commerce,BSc Tourism Management,Tourism,Front Office Assistant,Hotel Manager,General Manager (Hotel),Languages;Property Management Systems;Event Planning;Inventory Management,Customer Service;Interpersonal Skills;Cultural Awareness;Problem Solving,Tourism Marketing;Hospitality Operations;Food & Beverage Management;HR in Hospitality,IATA Certification;Food Safety Certification;Language Diplomas,High,Very High,90000,492000-1970000,No,Medium,Medium,"Managing operations in hotels, resorts, and coordinating travel experiences for tourists."
732,Undergraduate,Arts;Commerce,BBA Hospitality Management,Tourism,Front Office Assistant,Hotel Manager,General Manager (Hotel),Languages;Property Management Systems;Event Planning;Inventory Management,Customer Service;Interpersonal Skills;Cultural Awareness;Problem Solving,Tourism Marketing;Hospitality Operations;Food & Beverage Management;HR in Hospitality,IATA Certification;Food Safety Certification;Language Diplomas,Very High,High,99000,290000-1160000,No,Medium,Medium,"Managing operations in hotels, resorts, and coordinating travel experiences for tourists."
733,Career Switcher,Arts;Commerce,BBA Hospitality Management,Tourism,Tour Guide,Tour Operations Manager,Resort Manager,Languages;Property Management Systems;Event Planning;Inventory Management,Customer Service;Interpersonal Skills;Cultural Awareness;Problem Solving,Tourism Marketing;Hospitality Operations;Food & Beverage Management;HR in Hospitality,IATA Certification;Food Safety Certification;Language Diplomas,High,High,67000,480000-960000,No,Medium,Low,"Managing operations in hotels, resorts, and coordinating travel experiences for tourists."
734,A/L Pending,Arts;Commerce,Diploma in Travel and Tourism,Tourism,Front Office Assistant,Hotel Manager,Resort Manager,Languages;Property Management Systems;Event Planning;Inventory Management,Customer Service;Interpersonal Skills;Cultural Awareness;Problem Solving,Tourism Marketing;Hospitality Operations;Food & Beverage Management;HR in Hospitality,IATA Certification;Food Safety Certification;Language Diplomas,High,Medium,97000,511000-1530000,No,Medium,Medium,"Managing operations in hotels, resorts, and coordinating travel experiences for tourists."
735,A/L Completed,Arts;Commerce,BSc Tourism Management,Tourism,Management Trainee,Hotel Manager,Director of Tourism,Languages;Property Management Systems;Event Planning;Inventory Management,Customer Service;Interpersonal Skills;Cultural Awareness;Problem Solving,Tourism Marketing;Hospitality Operations;Food & Beverage Management;HR in Hospitality,IATA Certification;Food Safety Certification;Language Diplomas,Moderate,Medium,64000,415000-830000,No,Medium,Medium,"Managing operations in hotels, resorts, and coordinating travel experiences for tourists."
736,A/L Completed,Arts;Commerce,BSc Tourism Management,Tourism,Management Trainee,Tour Operations Manager,Resort Manager,Languages;Property Management Systems;Event Planning;Inventory Management,Customer Service;Interpersonal Skills;Cultural Awareness;Problem Solving,Tourism Marketing;Hospitality Operations;Food & Beverage Management;HR in Hospitality,IATA Certification;Food Safety Certification;Language Diplomas,Moderate,Very High,69000,264000-790000,No,Medium,Low,"Managing operations in hotels, resorts, and coordinating travel experiences for tourists."
737,Graduate,Arts;Commerce,BBA Hospitality Management,Tourism,Front Office Assistant,Tour Operations Manager,Resort Manager,Languages;Property Management Systems;Event Planning;Inventory Management,Customer Service;Interpersonal Skills;Cultural Awareness;Problem Solving,Tourism Marketing;Hospitality Operations;Food & Beverage Management;HR in Hospitality,IATA Certification;Food Safety Certification;Language Diplomas,Moderate,Very High,60000,570000-2280000,No,Medium,Low,"Managing operations in hotels, resorts, and coordinating travel experiences for tourists."
738,Career Switcher,Arts;Commerce,BSc Hospitality Management,Tourism,Management Trainee,Tour Operations Manager,Director of Tourism,Languages;Property Management Systems;Event Planning;Inventory Management,Customer Service;Interpersonal Skills;Cultural Awareness;Problem Solving,Tourism Marketing;Hospitality Operations;Food & Beverage Management;HR in Hospitality,IATA Certification;Food Safety Certification;Language Diplomas,Very High,High,56000,242000-480000,No,Medium,Low,"Managing operations in hotels, resorts, and coordinating travel experiences for tourists."
739,Diploma Holder,Arts;Commerce,BSc Tourism Management,Tourism,Management Trainee,Tour Operations Manager,Resort Manager,Languages;Property Management Systems;Event Planning;Inventory Management,Customer Service;Interpersonal Skills;Cultural Awareness;Problem Solving,Tourism Marketing;Hospitality Operations;Food & Beverage Management;HR in Hospitality,IATA Certification;Food Safety Certification;Language Diplomas,High,Medium,88000,499000-2000000,No,Medium,Low,"Managing operations in hotels, resorts, and coordinating travel experiences for tourists."
740,Graduate,Arts;Commerce,BSc Hospitality Management,Tourism,Tour Guide,Event Manager,General Manager (Hotel),Languages;Property Management Systems;Event Planning;Inventory Management,Customer Service;Interpersonal Skills;Cultural Awareness;Problem Solving,Tourism Marketing;Hospitality Operations;Food & Beverage Management;HR in Hospitality,IATA Certification;Food Safety Certification;Language Diplomas,Very High,High,79000,320000-640000,No,Medium,Low,"Managing operations in hotels, resorts, and coordinating travel experiences for tourists."
741,Career Switcher,Arts;Commerce,BSc Hospitality Management,Tourism,Tour Guide,Event Manager,Resort Manager,Languages;Property Management Systems;Event Planning;Inventory Management,Customer Service;Interpersonal Skills;Cultural Awareness;Problem Solving,Tourism Marketing;Hospitality Operations;Food & Beverage Management;HR in Hospitality,IATA Certification;Food Safety Certification;Language Diplomas,Moderate,High,82000,301000-1210000,No,Medium,Medium,"Managing operations in hotels, resorts, and coordinating travel experiences for tourists."
742,Career Switcher,Arts;Commerce,BSc Hospitality Management,Tourism,Management Trainee,Tour Operations Manager,Director of Tourism,Languages;Property Management Systems;Event Planning;Inventory Management,Customer Service;Interpersonal Skills;Cultural Awareness;Problem Solving,Tourism Marketing;Hospitality Operations;Food & Beverage Management;HR in Hospitality,IATA Certification;Food Safety Certification;Language Diplomas,Very High,Medium,64000,426000-1280000,No,Medium,Medium,"Managing operations in hotels, resorts, and coordinating travel experiences for tourists."
743,A/L Pending,Arts;Commerce,BSc Tourism Management,Tourism,Tour Guide,Tour Operations Manager,Resort Manager,Languages;Property Management Systems;Event Planning;Inventory Management,Customer Service;Interpersonal Skills;Cultural Awareness;Problem Solving,Tourism Marketing;Hospitality Operations;Food & Beverage Management;HR in Hospitality,IATA Certification;Food Safety Certification;Language Diplomas,Very High,Very High,80000,498000-1490000,No,Medium,Medium,"Managing operations in hotels, resorts, and coordinating travel experiences for tourists."
744,A/L Completed,Arts;Commerce,BBA Hospitality Management,Tourism,Tour Guide,Hotel Manager,General Manager (Hotel),Languages;Property Management Systems;Event Planning;Inventory Management,Customer Service;Interpersonal Skills;Cultural Awareness;Problem Solving,Tourism Marketing;Hospitality Operations;Food & Beverage Management;HR in Hospitality,IATA Certification;Food Safety Certification;Language Diplomas,Very High,High,87000,529000-2120000,No,Medium,Low,"Managing operations in hotels, resorts, and coordinating travel experiences for tourists."
745,A/L Pending,Arts;Commerce,BBA Hospitality Management,Tourism,Tour Guide,Hotel Manager,Director of Tourism,Languages;Property Management Systems;Event Planning;Inventory Management,Customer Service;Interpersonal Skills;Cultural Awareness;Problem Solving,Tourism Marketing;Hospitality Operations;Food & Beverage Management;HR in Hospitality,IATA Certification;Food Safety Certification;Language Diplomas,Very High,Medium,98000,545000-1640000,No,Medium,Medium,"Managing operations in hotels, resorts, and coordinating travel experiences for tourists."
746,A/L Pending,Arts;Commerce,BSc Tourism Management,Tourism,Tour Guide,Tour Operations Manager,Director of Tourism,Languages;Property Management Systems;Event Planning;Inventory Management,Customer Service;Interpersonal Skills;Cultural Awareness;Problem Solving,Tourism Marketing;Hospitality Operations;Food & Beverage Management;HR in Hospitality,IATA Certification;Food Safety Certification;Language Diplomas,High,Very High,77000,451000-900000,No,Medium,Low,"Managing operations in hotels, resorts, and coordinating travel experiences for tourists."
747,O/L Completed,Arts;Commerce,Diploma in Travel and Tourism,Tourism,Tour Guide,Event Manager,General Manager (Hotel),Languages;Property Management Systems;Event Planning;Inventory Management,Customer Service;Interpersonal Skills;Cultural Awareness;Problem Solving,Tourism Marketing;Hospitality Operations;Food & Beverage Management;HR in Hospitality,IATA Certification;Food Safety Certification;Language Diplomas,Moderate,Very High,64000,234000-940000,No,Medium,Low,"Managing operations in hotels, resorts, and coordinating travel experiences for tourists."
748,Diploma Holder,Arts;Commerce,BSc Hospitality Management,Tourism,Management Trainee,Event Manager,Director of Tourism,Languages;Property Management Systems;Event Planning;Inventory Management,Customer Service;Interpersonal Skills;Cultural Awareness;Problem Solving,Tourism Marketing;Hospitality Operations;Food & Beverage Management;HR in Hospitality,IATA Certification;Food Safety Certification;Language Diplomas,Very High,Medium,53000,334000-1000000,No,Medium,Low,"Managing operations in hotels, resorts, and coordinating travel experiences for tourists."
749,A/L Completed,Arts;Commerce,BSc Hospitality Management,Tourism,Front Office Assistant,Hotel Manager,Director of Tourism,Languages;Property Management Systems;Event Planning;Inventory Management,Customer Service;Interpersonal Skills;Cultural Awareness;Problem Solving,Tourism Marketing;Hospitality Operations;Food & Beverage Management;HR in Hospitality,IATA Certification;Food Safety Certification;Language Diplomas,Moderate,Very High,67000,536000-2140000,No,Medium,Medium,"Managing operations in hotels, resorts, and coordinating travel experiences for tourists."
750,A/L Completed,Arts;Commerce,BSc Hospitality Management,Tourism,Front Office Assistant,Event Manager,Resort Manager,Languages;Property Management Systems;Event Planning;Inventory Management,Customer Service;Interpersonal Skills;Cultural Awareness;Problem Solving,Tourism Marketing;Hospitality Operations;Food & Beverage Management;HR in Hospitality,IATA Certification;Food Safety Certification;Language Diplomas,High,High,61000,422000-840000,No,Medium,Medium,"Managing operations in hotels, resorts, and coordinating travel experiences for tourists."
751,A/L Pending,Arts;Commerce,BSc Tourism Management,Tourism,Management Trainee,Hotel Manager,Resort Manager,Languages;Property Management Systems;Event Planning;Inventory Management,Customer Service;Interpersonal Skills;Cultural Awareness;Problem Solving,Tourism Marketing;Hospitality Operations;Food & Beverage Management;HR in Hospitality,IATA Certification;Food Safety Certification;Language Diplomas,Very High,Medium,72000,319000-960000,No,Medium,Low,"Managing operations in hotels, resorts, and coordinating travel experiences for tourists."
752,Career Switcher,Arts;Commerce,BSc Tourism Management,Tourism,Tour Guide,Tour Operations Manager,Resort Manager,Languages;Property Management Systems;Event Planning;Inventory Management,Customer Service;Interpersonal Skills;Cultural Awareness;Problem Solving,Tourism Marketing;Hospitality Operations;Food & Beverage Management;HR in Hospitality,IATA Certification;Food Safety Certification;Language Diplomas,Moderate,Very High,56000,394000-1570000,No,Medium,Low,"Managing operations in hotels, resorts, and coordinating travel experiences for tourists."
753,O/L Completed,Arts;Commerce,Diploma in Hotel Management,Tourism,Tour Guide,Tour Operations Manager,Resort Manager,Languages;Property Management Systems;Event Planning;Inventory Management,Customer Service;Interpersonal Skills;Cultural Awareness;Problem Solving,Tourism Marketing;Hospitality Operations;Food & Beverage Management;HR in Hospitality,IATA Certification;Food Safety Certification;Language Diplomas,Moderate,High,94000,548000-2190000,No,Medium,Medium,"Managing operations in hotels, resorts, and coordinating travel experiences for tourists."
754,O/L Completed,Arts;Commerce,Certificate in Hospitality,Tourism,Front Office Assistant,Event Manager,General Manager (Hotel),Languages;Property Management Systems;Event Planning;Inventory Management,Customer Service;Interpersonal Skills;Cultural Awareness;Problem Solving,Tourism Marketing;Hospitality Operations;Food & Beverage Management;HR in Hospitality,IATA Certification;Food Safety Certification;Language Diplomas,Very High,Medium,80000,465000-930000,No,Medium,Low,"Managing operations in hotels, resorts, and coordinating travel experiences for tourists."
755,A/L Pending,Arts;Commerce,BSc Tourism Management,Tourism,Management Trainee,Tour Operations Manager,Resort Manager,Languages;Property Management Systems;Event Planning;Inventory Management,Customer Service;Interpersonal Skills;Cultural Awareness;Problem Solving,Tourism Marketing;Hospitality Operations;Food & Beverage Management;HR in Hospitality,IATA Certification;Food Safety Certification;Language Diplomas,Moderate,Very High,67000,546000-2180000,No,Medium,Low,"Managing operations in hotels, resorts, and coordinating travel experiences for tourists."
756,A/L Pending,Arts;Commerce,Diploma in Hotel Management,Tourism,Management Trainee,Tour Operations Manager,Director of Tourism,Languages;Property Management Systems;Event Planning;Inventory Management,Customer Service;Interpersonal Skills;Cultural Awareness;Problem Solving,Tourism Marketing;Hospitality Operations;Food & Beverage Management;HR in Hospitality,IATA Certification;Food Safety Certification;Language Diplomas,Moderate,Very High,66000,320000-640000,No,Medium,Medium,"Managing operations in hotels, resorts, and coordinating travel experiences for tourists."
757,Graduate,Arts;Commerce,BSc Hospitality Management,Tourism,Front Office Assistant,Event Manager,General Manager (Hotel),Languages;Property Management Systems;Event Planning;Inventory Management,Customer Service;Interpersonal Skills;Cultural Awareness;Problem Solving,Tourism Marketing;Hospitality Operations;Food & Beverage Management;HR in Hospitality,IATA Certification;Food Safety Certification;Language Diplomas,Very High,High,53000,395000-1580000,No,Medium,Low,"Managing operations in hotels, resorts, and coordinating travel experiences for tourists."
758,Undergraduate,Arts;Commerce,BSc Tourism Management,Tourism,Tour Guide,Tour Operations Manager,Resort Manager,Languages;Property Management Systems;Event Planning;Inventory Management,Customer Service;Interpersonal Skills;Cultural Awareness;Problem Solving,Tourism Marketing;Hospitality Operations;Food & Beverage Management;HR in Hospitality,IATA Certification;Food Safety Certification;Language Diplomas,Very High,High,60000,525000-1580000,No,Medium,Low,"Managing operations in hotels, resorts, and coordinating travel experiences for tourists."
759,A/L Pending,Arts;Commerce,Diploma in Travel and Tourism,Tourism,Tour Guide,Hotel Manager,Resort Manager,Languages;Property Management Systems;Event Planning;Inventory Management,Customer Service;Interpersonal Skills;Cultural Awareness;Problem Solving,Tourism Marketing;Hospitality Operations;Food & Beverage Management;HR in Hospitality,IATA Certification;Food Safety Certification;Language Diplomas,Moderate,High,62000,462000-920000,No,Medium,Low,"Managing operations in hotels, resorts, and coordinating travel experiences for tourists."
760,Diploma Holder,Arts;Commerce,Diploma in Travel and Tourism,Tourism,Tour Guide,Hotel Manager,Director of Tourism,Languages;Property Management Systems;Event Planning;Inventory Management,Customer Service;Interpersonal Skills;Cultural Awareness;Problem Solving,Tourism Marketing;Hospitality Operations;Food & Beverage Management;HR in Hospitality,IATA Certification;Food Safety Certification;Language Diplomas,Moderate,High,98000,551000-1650000,No,Medium,Low,"Managing operations in hotels, resorts, and coordinating travel experiences for tourists."
761,O/L Completed,Arts;Commerce,Certificate in Hospitality,Tourism,Management Trainee,Tour Operations Manager,Resort Manager,Languages;Property Management Systems;Event Planning;Inventory Management,Customer Service;Interpersonal Skills;Cultural Awareness;Problem Solving,Tourism Marketing;Hospitality Operations;Food & Beverage Management;HR in Hospitality,IATA Certification;Food Safety Certification;Language Diplomas,Very High,High,77000,484000-970000,No,Medium,Low,"Managing operations in hotels, resorts, and coordinating travel experiences for tourists."
762,A/L Pending,Arts;Commerce,BSc Tourism Management,Tourism,Management Trainee,Hotel Manager,General Manager (Hotel),Languages;Property Management Systems;Event Planning;Inventory Management,Customer Service;Interpersonal Skills;Cultural Awareness;Problem Solving,Tourism Marketing;Hospitality Operations;Food & Beverage Management;HR in Hospitality,IATA Certification;Food Safety Certification;Language Diplomas,Very High,Medium,72000,439000-880000,No,Medium,Low,"Managing operations in hotels, resorts, and coordinating travel experiences for tourists."
763,A/L Pending,Arts;Commerce,BBA Hospitality Management,Tourism,Front Office Assistant,Tour Operations Manager,Director of Tourism,Languages;Property Management Systems;Event Planning;Inventory Management,Customer Service;Interpersonal Skills;Cultural Awareness;Problem Solving,Tourism Marketing;Hospitality Operations;Food & Beverage Management;HR in Hospitality,IATA Certification;Food Safety Certification;Language Diplomas,Moderate,High,59000,595000-2380000,No,Medium,Medium,"Managing operations in hotels, resorts, and coordinating travel experiences for tourists."
764,Diploma Holder,Arts;Commerce,Diploma in Hotel Management,Tourism,Front Office Assistant,Hotel Manager,Director of Tourism,Languages;Property Management Systems;Event Planning;Inventory Management,Customer Service;Interpersonal Skills;Cultural Awareness;Problem Solving,Tourism Marketing;Hospitality Operations;Food & Beverage Management;HR in Hospitality,IATA Certification;Food Safety Certification;Language Diplomas,Very High,Medium,98000,282000-1130000,No,Medium,Low,"Managing operations in hotels, resorts, and coordinating travel experiences for tourists."
765,Graduate,Arts;Commerce,BBA Hospitality Management,Tourism,Front Office Assistant,Event Manager,Director of Tourism,Languages;Property Management Systems;Event Planning;Inventory Management,Customer Service;Interpersonal Skills;Cultural Awareness;Problem Solving,Tourism Marketing;Hospitality Operations;Food & Beverage Management;HR in Hospitality,IATA Certification;Food Safety Certification;Language Diplomas,Moderate,Medium,77000,423000-1690000,No,Medium,Medium,"Managing operations in hotels, resorts, and coordinating travel experiences for tourists."
766,Diploma Holder,Arts;Science,BA Psychology,Psychology,Assistant Psychologist,Counselor,Director of Mental Health Services,Psychological Assessment;Therapy Techniques (CBT);Research Methodology,Empathy;Active Listening;Confidentiality;Patience,Abnormal Psychology;Cognitive Psychology;Developmental Psychology;Counseling,Clinical Psychology Masters;Counseling Diploma;Mental Health First Aid,Moderate,Medium,96000,589000-1180000,Yes,High,Medium,Studying human behavior and helping individuals navigate mental health and emotional challenges.
767,O/L Completed,Arts;Science,Diploma in Psychology,Psychology,HR Assistant,Clinical Psychologist,Director of Mental Health Services,Psychological Assessment;Therapy Techniques (CBT);Research Methodology,Empathy;Active Listening;Confidentiality;Patience,Abnormal Psychology;Cognitive Psychology;Developmental Psychology;Counseling,Clinical Psychology Masters;Counseling Diploma;Mental Health First Aid,Moderate,High,89000,452000-900000,Yes,High,Medium,Studying human behavior and helping individuals navigate mental health and emotional challenges.
768,O/L Completed,Arts;Science,Certificate in Counseling,Psychology,HR Assistant,Organizational Psychologist,Director of Mental Health Services,Psychological Assessment;Therapy Techniques (CBT);Research Methodology,Empathy;Active Listening;Confidentiality;Patience,Abnormal Psychology;Cognitive Psychology;Developmental Psychology;Counseling,Clinical Psychology Masters;Counseling Diploma;Mental Health First Aid,Moderate,High,51000,588000-2350000,Yes,High,Low,Studying human behavior and helping individuals navigate mental health and emotional challenges.
769,Graduate,Arts;Science,BA Psychology,Psychology,Counseling Trainee,Clinical Psychologist,Chief HR Officer,Psychological Assessment;Therapy Techniques (CBT);Research Methodology,Empathy;Active Listening;Confidentiality;Patience,Abnormal Psychology;Cognitive Psychology;Developmental Psychology;Counseling,Clinical Psychology Masters;Counseling Diploma;Mental Health First Aid,Very High,Medium,66000,219000-660000,Yes,High,Low,Studying human behavior and helping individuals navigate mental health and emotional challenges.
770,Undergraduate,Arts;Science,BSc Psychology,Psychology,Assistant Psychologist,Counselor,Consultant Psychologist,Psychological Assessment;Therapy Techniques (CBT);Research Methodology,Empathy;Active Listening;Confidentiality;Patience,Abnormal Psychology;Cognitive Psychology;Developmental Psychology;Counseling,Clinical Psychology Masters;Counseling Diploma;Mental Health First Aid,Moderate,Medium,61000,281000-840000,Yes,High,Medium,Studying human behavior and helping individuals navigate mental health and emotional challenges.
771,Career Switcher,Arts;Science,BA Psychology,Psychology,Assistant Psychologist,Counselor,Chief HR Officer,Psychological Assessment;Therapy Techniques (CBT);Research Methodology,Empathy;Active Listening;Confidentiality;Patience,Abnormal Psychology;Cognitive Psychology;Developmental Psychology;Counseling,Clinical Psychology Masters;Counseling Diploma;Mental Health First Aid,High,Medium,66000,203000-410000,Yes,High,Low,Studying human behavior and helping individuals navigate mental health and emotional challenges.
772,A/L Pending,Arts;Science,BSc Psychology,Psychology,HR Assistant,Organizational Psychologist,Director of Mental Health Services,Psychological Assessment;Therapy Techniques (CBT);Research Methodology,Empathy;Active Listening;Confidentiality;Patience,Abnormal Psychology;Cognitive Psychology;Developmental Psychology;Counseling,Clinical Psychology Masters;Counseling Diploma;Mental Health First Aid,Moderate,Medium,60000,237000-470000,Yes,High,Medium,Studying human behavior and helping individuals navigate mental health and emotional challenges.
773,A/L Completed,Arts;Science,BA Psychology,Psychology,Assistant Psychologist,Organizational Psychologist,Consultant Psychologist,Psychological Assessment;Therapy Techniques (CBT);Research Methodology,Empathy;Active Listening;Confidentiality;Patience,Abnormal Psychology;Cognitive Psychology;Developmental Psychology;Counseling,Clinical Psychology Masters;Counseling Diploma;Mental Health First Aid,Moderate,Very High,99000,439000-880000,Yes,High,Low,Studying human behavior and helping individuals navigate mental health and emotional challenges.
774,O/L Completed,Arts;Science,Diploma in Psychology,Psychology,Assistant Psychologist,Clinical Psychologist,Consultant Psychologist,Psychological Assessment;Therapy Techniques (CBT);Research Methodology,Empathy;Active Listening;Confidentiality;Patience,Abnormal Psychology;Cognitive Psychology;Developmental Psychology;Counseling,Clinical Psychology Masters;Counseling Diploma;Mental Health First Aid,High,Very High,59000,593000-1780000,Yes,High,Low,Studying human behavior and helping individuals navigate mental health and emotional challenges.
775,A/L Completed,Arts;Science,BSc Psychology,Psychology,HR Assistant,Clinical Psychologist,Chief HR Officer,Psychological Assessment;Therapy Techniques (CBT);Research Methodology,Empathy;Active Listening;Confidentiality;Patience,Abnormal Psychology;Cognitive Psychology;Developmental Psychology;Counseling,Clinical Psychology Masters;Counseling Diploma;Mental Health First Aid,High,Very High,97000,365000-730000,Yes,High,Low,Studying human behavior and helping individuals navigate mental health and emotional challenges.
776,A/L Pending,Arts;Science,BA Psychology,Psychology,HR Assistant,Counselor,Director of Mental Health Services,Psychological Assessment;Therapy Techniques (CBT);Research Methodology,Empathy;Active Listening;Confidentiality;Patience,Abnormal Psychology;Cognitive Psychology;Developmental Psychology;Counseling,Clinical Psychology Masters;Counseling Diploma;Mental Health First Aid,High,High,89000,214000-850000,Yes,High,Medium,Studying human behavior and helping individuals navigate mental health and emotional challenges.
777,A/L Completed,Arts;Science,BA Psychology,Psychology,HR Assistant,Organizational Psychologist,Director of Mental Health Services,Psychological Assessment;Therapy Techniques (CBT);Research Methodology,Empathy;Active Listening;Confidentiality;Patience,Abnormal Psychology;Cognitive Psychology;Developmental Psychology;Counseling,Clinical Psychology Masters;Counseling Diploma;Mental Health First Aid,Very High,Medium,70000,421000-1260000,Yes,High,Medium,Studying human behavior and helping individuals navigate mental health and emotional challenges.
778,Undergraduate,Arts;Science,BSc Psychology,Psychology,Counseling Trainee,Organizational Psychologist,Chief HR Officer,Psychological Assessment;Therapy Techniques (CBT);Research Methodology,Empathy;Active Listening;Confidentiality;Patience,Abnormal Psychology;Cognitive Psychology;Developmental Psychology;Counseling,Clinical Psychology Masters;Counseling Diploma;Mental Health First Aid,High,Very High,78000,435000-1300000,Yes,High,Medium,Studying human behavior and helping individuals navigate mental health and emotional challenges.
779,Graduate,Arts;Science,BA Psychology,Psychology,HR Assistant,Counselor,Director of Mental Health Services,Psychological Assessment;Therapy Techniques (CBT);Research Methodology,Empathy;Active Listening;Confidentiality;Patience,Abnormal Psychology;Cognitive Psychology;Developmental Psychology;Counseling,Clinical Psychology Masters;Counseling Diploma;Mental Health First Aid,Moderate,Very High,82000,536000-2140000,Yes,High,Medium,Studying human behavior and helping individuals navigate mental health and emotional challenges.
780,Graduate,Arts;Science,BA Psychology,Psychology,HR Assistant,Counselor,Director of Mental Health Services,Psychological Assessment;Therapy Techniques (CBT);Research Methodology,Empathy;Active Listening;Confidentiality;Patience,Abnormal Psychology;Cognitive Psychology;Developmental Psychology;Counseling,Clinical Psychology Masters;Counseling Diploma;Mental Health First Aid,High,High,87000,594000-2380000,Yes,High,Low,Studying human behavior and helping individuals navigate mental health and emotional challenges.
781,O/L Completed,Arts;Science,Certificate in Counseling,Psychology,Counseling Trainee,Clinical Psychologist,Chief HR Officer,Psychological Assessment;Therapy Techniques (CBT);Research Methodology,Empathy;Active Listening;Confidentiality;Patience,Abnormal Psychology;Cognitive Psychology;Developmental Psychology;Counseling,Clinical Psychology Masters;Counseling Diploma;Mental Health First Aid,Very High,High,57000,244000-490000,Yes,High,Medium,Studying human behavior and helping individuals navigate mental health and emotional challenges.
782,Diploma Holder,Arts;Science,BA Psychology,Psychology,HR Assistant,Counselor,Chief HR Officer,Psychological Assessment;Therapy Techniques (CBT);Research Methodology,Empathy;Active Listening;Confidentiality;Patience,Abnormal Psychology;Cognitive Psychology;Developmental Psychology;Counseling,Clinical Psychology Masters;Counseling Diploma;Mental Health First Aid,Moderate,High,72000,276000-830000,Yes,High,Medium,Studying human behavior and helping individuals navigate mental health and emotional challenges.
783,A/L Pending,Arts;Science,BA Psychology,Psychology,Counseling Trainee,Counselor,Consultant Psychologist,Psychological Assessment;Therapy Techniques (CBT);Research Methodology,Empathy;Active Listening;Confidentiality;Patience,Abnormal Psychology;Cognitive Psychology;Developmental Psychology;Counseling,Clinical Psychology Masters;Counseling Diploma;Mental Health First Aid,High,High,72000,589000-1180000,Yes,High,Medium,Studying human behavior and helping individuals navigate mental health and emotional challenges.
784,Graduate,Arts;Science,BSc Psychology,Psychology,Assistant Psychologist,Counselor,Consultant Psychologist,Psychological Assessment;Therapy Techniques (CBT);Research Methodology,Empathy;Active Listening;Confidentiality;Patience,Abnormal Psychology;Cognitive Psychology;Developmental Psychology;Counseling,Clinical Psychology Masters;Counseling Diploma;Mental Health First Aid,Very High,High,64000,316000-1270000,Yes,High,Medium,Studying human behavior and helping individuals navigate mental health and emotional challenges.
785,Graduate,Arts;Science,BA Psychology,Psychology,Assistant Psychologist,Organizational Psychologist,Chief HR Officer,Psychological Assessment;Therapy Techniques (CBT);Research Methodology,Empathy;Active Listening;Confidentiality;Patience,Abnormal Psychology;Cognitive Psychology;Developmental Psychology;Counseling,Clinical Psychology Masters;Counseling Diploma;Mental Health First Aid,Very High,High,58000,459000-1840000,Yes,High,Medium,Studying human behavior and helping individuals navigate mental health and emotional challenges.
786,Graduate,Arts;Science,BSc Psychology,Psychology,Assistant Psychologist,Clinical Psychologist,Director of Mental Health Services,Psychological Assessment;Therapy Techniques (CBT);Research Methodology,Empathy;Active Listening;Confidentiality;Patience,Abnormal Psychology;Cognitive Psychology;Developmental Psychology;Counseling,Clinical Psychology Masters;Counseling Diploma;Mental Health First Aid,Moderate,Medium,61000,250000-1000000,Yes,High,Low,Studying human behavior and helping individuals navigate mental health and emotional challenges.
787,Undergraduate,Arts;Science,BSc Psychology,Psychology,Counseling Trainee,Organizational Psychologist,Consultant Psychologist,Psychological Assessment;Therapy Techniques (CBT);Research Methodology,Empathy;Active Listening;Confidentiality;Patience,Abnormal Psychology;Cognitive Psychology;Developmental Psychology;Counseling,Clinical Psychology Masters;Counseling Diploma;Mental Health First Aid,Moderate,Medium,64000,403000-1610000,Yes,High,Low,Studying human behavior and helping individuals navigate mental health and emotional challenges.
